Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Necrohydra,Dodge,Sacrogrito,922,32,29,200.0,52.46,1025
Waylanderr,Oshimo,Sram,888,29,25,200.0,53.7,1025
Gazzolina,Oshimo,Xelor,856,23,17,200.0,57.5,1025
Kayvor,Terra Cogita,Ocra,876,23,17,200.0,57.5,1025
Erick-draga,Brutas,Zurcarak,890,44,45,200.0,49.44,1025
Withlovetrap,Herdegrize,Sram,962,150,187,200.0,44.51,1025
Houstone,Herdegrize,Zurcarak,919,14,5,200.0,73.68,1025
Diabz,Herdegrize,Zobal,1059,28,36,200.0,43.75,1025
Linen,Terra Cogita,Zurcarak,844,38,37,200.0,50.67,1025
Sher-bq,Brutas,Yopuka,857,35,33,200.0,51.47,1025
Bostonn,Brutas,Zobal,937,17,9,200.0,65.38,1025
Rosoh,Terra Cogita,Aniripsa,926,14,5,200.0,73.68,1025
Dx-shield,Brutas,Feca,912,14,5,200.0,73.68,1025
Harashku,Terra Cogita,Feca,948,20,13,200.0,60.61,1025
Kaylysee,Terra Cogita,Sram,865,53,57,200.0,48.18,1025
Edelstoff,Herdegrize,Zurcarak,913,17,9,200.0,65.38,1025
Falel,Grandapan,Ocra,866,26,21,200.0,55.32,1025
Gabrielax,Brutas,Aniripsa,929,14,5,200.0,73.68,1025
Budy-san,Terra Cogita,Yopuka,881,95,113,200.0,45.67,1025
Shelovesjr,Terra Cogita,Sacrogrito,965,20,13,200.0,60.61,1025
Kiow,Brutas,Yopuka,978,28,29,200.0,49.12,1024
Lumati-xx,Brutas,Sacrogrito,1039,14,10,200.0,58.33,1023
Brook-Saan,Terra Cogita,Sram,929,49,52,200.0,48.51,1018
Rubiia,Dodge,Sadida,1011,22,17,200.0,56.41,1017
Sombre-punii,Herdegrize,Ocra,956,14,8,200.0,63.64,1017
Shinryu,Terra Cogita,Sram,1057,8,5,200.0,61.54,1016
Dom-Perignon,Brutas,Zobal,1003,45,49,200.0,47.87,1011
Snow-Xx,Oshimo,Pandawa,1084,16,19,200.0,45.71,1007
Sadibwm,Oshimo,Sadida,1041,14,9,200.0,60.87,1005
Paninimeow,Dodge,Zobal,1036,21,22,200.0,48.84,1002
Selphi,Terra Cogita,Sacrogrito,1091,10,10,200.0,50.0,1002
Hixoz,Herdegrize,Ocra,977,24,19,200.0,55.81,1002
Lwara,Brutas,Feca,1025,10,2,200.0,83.33,1001
Jotta,Grandapan,Ocra,844,19,12,199.0,61.29,1000
Sangguii,Terra Cogita,Feca,900,13,4,200.0,76.47,1000
Scopes,Herdegrize,Ocra,873,19,12,200.0,61.29,1000
Almighty-d,Grandapan,Feca,867,28,24,200.0,53.85,1000
Chronono,Oshimo,Xelor,955,25,20,200.0,55.56,1000
Mutn-Roshi,Brutas,Anutrof,919,16,8,200.0,66.67,1000
Andres-xel,Brutas,Xelor,921,37,36,200.0,50.68,1000
Fer-pandita,Brutas,Pandawa,910,10,0,200.0,100.0,1000
Reyna-gorgo,Brutas,Sram,923,10,0,200.0,100.0,1000
Poison-cookie,Dodge,Zobal,840,25,20,199.0,55.56,1000
Chouwco,Oshimo,Yopuka,902,19,12,200.0,61.29,1000
Malofesse,Oshimo,Yopuka,822,16,8,200.0,66.67,1000
Dante-drink,Brutas,Pandawa,886,13,4,200.0,76.47,1000
Xeltor-h,Brutas,Xelor,983,16,8,200.0,66.67,1000
Chupaa-Chupss,Terra Cogita,Ocra,889,13,4,200.0,76.47,1000
Yoskka,Oshimo,Sram,920,10,0,199.0,100.0,1000
Shaki-Jah,Terra Cogita,Ocra,910,10,0,200.0,100.0,1000
Pommebanane,Herdegrize,Aniripsa,965,16,8,200.0,66.67,1000
Kini-ti,Terra Cogita,Anutrof,922,22,16,200.0,57.89,1000
Kriminall,Brutas,Yopuka,930,13,4,200.0,76.47,1000
Hamun,Brutas,Yopuka,894,25,20,200.0,55.56,1000
Banks-banks,Herdegrize,Anutrof,860,25,20,200.0,55.56,1000
Khaaliss,Oshimo,Sacrogrito,993,15,7,200.0,68.18,1000
Samu-Onfayer,Brutas,Zurcarak,898,10,0,200.0,100.0,1000
Shaized,Terra Cogita,Zobal,948,28,24,200.0,53.85,1000
Rupioe,Oshimo,Sram,825,10,0,200.0,100.0,1000
Jack-Troisdoigt,Terra Cogita,Aniripsa,966,25,20,200.0,55.56,1000
Gazzmann,Oshimo,Sram,923,34,32,200.0,51.52,1000
Omegakiller,Brutas,Steamer,942,40,40,200.0,50.0,1000
Vrek,Oshimo,Aniripsa,1054,30,33,200.0,47.62,1000
Uppsolation,Brutas,Pandawa,999,15,8,200.0,65.22,999
Panglomin,Oshimo,Tymador,1007,32,40,200.0,44.44,998
Bad-Father,Herdegrize,Feca,930,30,28,200.0,51.72,996
Star-Green,Brutas,Ocra,976,17,13,200.0,56.67,996
Freya-xx,Oshimo,Aniripsa,1045,27,25,200.0,51.92,996
