Nombres,Servidores,Clases,Cotas,Ganados,Perdidos,Niveles,% Winrate,Puntos
Antinyle,Oshimo,Zurcarak,869,31,34,200.0,47.69,550
Lancki-project,Herdegrize,Feca,1007,20,20,200.0,50.0,549
Elie-Kauptairr,Herdegrize,Ocra,954,10,8,200.0,55.56,547
Lucky-Juice,Terra Cogita,Zurcarak,1022,14,19,200.0,42.42,547
Griko,Terra Cogita,Pandawa,1004,7,3,200.0,70.0,546
Heart-gun,Herdegrize,Yopuka,995,8,6,200.0,57.14,544
Nathalye,Brutas,Tymador,953,45,53,200.0,45.92,542
Shamanof,Oshimo,Feca,985,46,59,200.0,43.81,542
Anny-yop,Brutas,Ocra,925,12,9,200.0,57.14,539
Diana-Xl,Brutas,Osamodas,1058,7,7,200.0,50.0,539
Kolosse-kopi,Terra Cogita,Zobal,1112,28,28,200.0,50.0,538
Alancusto,Brutas,Yopuka,1018,9,10,200.0,47.37,536
Tozz-Ro,Oshimo,Yopuka,1025,19,23,200.0,45.24,535
Bandamore,Oshimo,Ocra,895,27,29,200.0,48.21,535
Prevent,Herdegrize,Xelor,1048,24,31,200.0,43.64,534
Malagah,Terra Cogita,Yopuka,965,19,19,200.0,50.0,530
Oo-Pikachu,Oshimo,Ocra,995,11,12,200.0,47.83,529
Sacriesouslorei,Herdegrize,Sacrogrito,982,12,9,200.0,57.14,529
Naiye-naiye,Herdegrize,Xelor,993,12,9,200.0,57.14,529
Alboubri-Breh,Terra Cogita,Sram,1006,13,13,200.0,50.0,529
Jdani-l,Brutas,Sram,1013,11,13,200.0,45.83,528
Srmaximo,Brutas,Ocra,920,18,17,200.0,51.43,527
Russh,Dodge,Yopuka,960,27,29,200.0,48.21,527
Wrating,Dodge,Sacrogrito,1079,19,29,200.0,39.58,526
Cedeca,Terra Cogita,Zurcarak,934,9,5,200.0,64.29,526
Gloves,Herdegrize,Sram,944,12,9,200.0,57.14,525
Wuan,Oshimo,Pandawa,965,9,5,200.0,64.29,525
Metasploitable,Brutas,Feca,980,12,9,200.0,57.14,525
Midrac,Brutas,Feca,927,9,5,200.0,64.29,525
Darktimes,Brutas,Yopuka,935,15,13,200.0,53.57,525
Tyaah,Oshimo,Ocra,872,21,21,200.0,50.0,525
Jbarrero,Grandapan,Aniripsa,935,9,5,200.0,64.29,525
Barinomi,Terra Cogita,Zobal,913,9,5,200.0,64.29,525
Wakka-Il,Terra Cogita,Pandawa,955,39,45,200.0,46.43,525
Izouky,Herdegrize,Sadida,988,9,5,200.0,64.29,525
Malde,Brutas,Pandawa,883,9,5,200.0,64.29,525
Deezer-Nexus,Oshimo,Pandawa,864,45,53,200.0,45.92,525
Drakula-mihoc,Herdegrize,Sacrogrito,890,24,25,200.0,48.98,525
Mot-balpa,Oshimo,Aniripsa,967,9,5,200.0,64.29,525
Sadi-niels,Herdegrize,Sadida,904,48,57,200.0,45.71,525
Skunkah,Oshimo,Xelor,911,12,9,200.0,57.14,525
Pastekk,Oshimo,Xelor,964,15,13,200.0,53.57,525
Kenderoy,Oshimo,Yopuka,870,12,9,200.0,57.14,525
Tyburlot,Brutas,Sram,935,21,21,200.0,50.0,525
Micholak,Herdegrize,Sacrogrito,955,9,5,200.0,64.29,525
Akani-San,Herdegrize,Feca,992,9,5,200.0,64.29,525
Dani-daniel,Brutas,Sram,850,48,57,200.0,45.71,525
No-Loveyo,Herdegrize,Ocra,836,21,21,200.0,50.0,525
Doggy-Style,Dodge,Sacrogrito,971,39,45,200.0,46.43,525
Lazzaga,Brutas,Sram,906,33,37,200.0,47.14,525
Soul-Arcangel,Brutas,Sram,935,21,21,200.0,50.0,525
Lz-Tymdr,Brutas,Tymador,920,30,33,200.0,47.62,525
Vida-Pacha,Oshimo,Sram,908,12,9,200.0,57.14,525
Kyubina-Rox,Terra Cogita,Yopuka,894,18,17,200.0,51.43,525
The-Medmed,Oshimo,Feca,982,18,17,200.0,51.43,525
Aquaticman,Herdegrize,Sadida,963,21,21,200.0,50.0,525
Beekwhayet,Terra Cogita,Osamodas,917,39,45,200.0,46.43,525
La-Selecao,Herdegrize,Aniripsa,919,21,21,200.0,50.0,525
Gaiak,Herdegrize,Sadida,867,18,17,200.0,51.43,525
Nuckaa,Brutas,Sram,922,15,13,200.0,53.57,525
Danakil-marleys,Terra Cogita,Zurcarak,1022,17,23,200.0,42.5,522
Viejo-wupa,Brutas,Sram,1028,7,6,200.0,53.85,520
Arnackeur,Oshimo,Sram,1016,11,10,200.0,52.38,518
Boomdanlrezo,Herdegrize,Sram,1012,10,9,200.0,52.63,517
Manekii-neko,Oshimo,Zurcarak,1003,6,4,200.0,60.0,517
Heka,Brutas,Steamer,966,8,4,200.0,66.67,513
Soux-Soux,Oshimo,Sadida,1041,17,21,200.0,44.74,513
Choucroutegarni,Herdegrize,Zobal,984,8,4,200.0,66.67,511
Defensor-Dakorz,Brutas,Feca,955,32,36,200.0,47.06,510
Youtebe,Oshimo,Xelor,1043,7,5,200.0,58.33,510
Tuvoisles-retom,Herdegrize,Zurcarak,966,29,33,200.0,46.77,508
Xuw,Brutas,Ocra,928,8,4,200.0,66.67,508
And-rg,Brutas,Xelor,994,8,4,200.0,66.67,506
Ani-ssa,Oshimo,Sacrogrito,986,26,28,200.0,48.15,506
Mr-Vergon,Brutas,Zobal,969,32,36,200.0,47.06,505
Ptit-Breton,Herdegrize,Ocra,926,32,36,200.0,47.06,504
Heal-ium,Terra Cogita,Aniripsa,1120,7,8,200.0,46.67,503
Sargent-belt,Brutas,Sadida,971,44,52,200.0,45.83,502
Oxxycodone,Brutas,Aniripsa,1013,8,4,200.0,66.67,502
Romavain,Oshimo,Aniripsa,985,29,36,200.0,44.62,501
Excuse-Bro,Terra Cogita,Tymador,952,15,14,200.0,51.72,501
Sr-Perez,Brutas,Ocra,858,26,28,200.0,48.15,501
Shigeko,Grandapan,Pandawa,872,20,20,200.0,50.0,500
Sacri-paonn,Herdegrize,Sacrogrito,939,14,12,200.0,53.85,500
Captain-Plouf,Terra Cogita,Steamer,963,19,19,200.0,50.0,500
War-zaloot,Herdegrize,Anutrof,943,11,8,200.0,57.89,500
Dan-shine,Brutas,Yopuka,872,17,16,200.0,51.52,500
Kornicova,Brutas,Aniripsa,849,20,20,200.0,50.0,500
Allvorada,Brutas,Zurcarak,850,17,16,200.0,51.52,500
Zgegoune,Oshimo,Sadida,845,8,4,200.0,66.67,500
Zoro-senpei,Oshimo,Zurcarak,892,8,4,200.0,66.67,500
Geneiral,Herdegrize,Aniripsa,957,20,20,200.0,50.0,500
Valaddita,Brutas,Pandawa,860,20,20,200.0,50.0,500
Tuuteuh,Herdegrize,Sadida,899,8,4,200.0,66.67,500
Abdel-l,Brutas,Yopuka,923,8,4,200.0,66.67,500
Alexa-villabon,Brutas,Ocra,882,11,8,200.0,57.89,500
Nardostachys,Brutas,Sadida,874,11,8,200.0,57.89,500
Sea-Cry,Oshimo,Sacrogrito,899,23,24,200.0,48.94,500
Mad-Burster,Terra Cogita,Sram,898,11,8,200.0,57.89,500
Absente,Terra Cogita,Sram,883,8,4,200.0,66.67,500
Levengeur-masqu,Herdegrize,Sram,893,11,8,200.0,57.89,500
Derfd,Oshimo,Ocra,862,8,4,200.0,66.67,500
Al-shercri,Brutas,Ocra,854,35,40,200.0,46.67,500
Bbcam,Terra Cogita,Ocra,889,23,24,200.0,48.94,500
Skyy,Brutas,Sram,834,14,12,200.0,53.85,500
Los-Morphinos,Oshimo,Ocra,700,8,4,200.0,66.67,500
Audemarm,Terra Cogita,Feca,968,23,24,200.0,48.94,500
Painthe,Terra Cogita,Pandawa,957,8,4,200.0,66.67,500
Master-sanguine,Terra Cogita,Sram,879,20,20,200.0,50.0,500
Freddys,Dodge,Feca,951,14,12,200.0,53.85,500
Reyows,Herdegrize,Sacrogrito,1008,19,20,200.0,48.72,500
Thedani,Grandapan,Sadida,919,26,28,200.0,48.15,500
Zenozoldyck,Brutas,Yopuka,842,17,16,200.0,51.52,500
Nack-Moon,Herdegrize,Aniripsa,976,8,4,200.0,66.67,500
Saeekko,Brutas,Sram,920,8,4,200.0,66.67,500
Sto-gato,Brutas,Zurcarak,866,20,20,200.0,50.0,500
Yacorason,Oshimo,Aniripsa,1025,7,3,200.0,70.0,499
Mafiaa,Brutas,Feca,919,13,17,200.0,43.33,497
Mozayop,Terra Cogita,Yopuka,1002,12,12,200.0,50.0,497
Yuu-Dada,Terra Cogita,Pandawa,1037,10,10,200.0,50.0,495
Rutileauacide,Herdegrize,Ocra,979,6,7,200.0,46.15,495
Comelon,Grandapan,Feca,1038,11,10,200.0,52.38,495
Huesoss,Brutas,Sram,1021,6,4,200.0,60.0,493
Lituna,Oshimo,Aniripsa,1037,13,12,200.0,52.0,492
Rasta-kwere,Herdegrize,Aniripsa,1034,15,15,200.0,50.0,490
Titi-panda,Herdegrize,Pandawa,948,22,24,200.0,47.83,488
Metk,Dodge,Feca,1026,7,4,200.0,63.64,488
Px-senateur,Herdegrize,Yopuka,948,26,30,200.0,46.43,488
Darckyness,Brutas,Ocra,923,7,3,200.0,70.0,487
Djolaweedaloca,Terra Cogita,Aniripsa,1046,11,10,200.0,52.38,487
Dejjavu,Brutas,Xelor,1078,7,7,200.0,50.0,485
Oo-ldemon,Herdegrize,Ocra,957,30,37,200.0,44.78,485
Ekartel,Oshimo,Zurcarak,940,13,11,200.0,54.17,483
Kihwy,Terra Cogita,Ocra,1043,7,9,200.0,43.75,482
Pi-tou,Oshimo,Ocra,950,7,4,200.0,63.64,482
Golloxorta,Herdegrize,Yopuka,936,40,49,200.0,44.94,482
Tanjiro-kun,Oshimo,Pandawa,981,15,14,200.0,51.72,482
Tds-alv,Brutas,Sram,946,28,31,200.0,47.46,480
Blueriane,Herdegrize,Sacrogrito,1021,9,7,200.0,56.25,479
Dullzes,Brutas,Aniripsa,983,16,15,200.0,51.61,476
Panther-Nwar,Terra Cogita,Sram,928,28,31,200.0,47.46,476
Bersekr,Herdegrize,Osamodas,938,13,11,200.0,54.17,475
Jylso,Terra Cogita,Aniripsa,894,37,43,200.0,46.25,475
Xelatropia,Brutas,Xelor,944,52,63,200.0,45.22,475
Dr-blu,Dodge,Ocra,868,10,7,200.0,58.82,475
El-alfa,Brutas,Zurcarak,898,34,39,200.0,46.58,475
Bourepiffe,Terra Cogita,Zurcarak,909,22,23,200.0,48.89,475
Rangyku,Grandapan,Osamodas,880,10,7,200.0,58.82,475
Ryyke-Errel,Dodge,Yopuka,921,7,3,200.0,70.0,475
Mol-ki,Oshimo,Pandawa,879,10,7,200.0,58.82,475
Aalyana-Loui,Herdegrize,Osamodas,933,40,47,199.0,45.98,475
Valardheal,Oshimo,Aniripsa,980,25,27,200.0,48.08,475
King-Charge,Brutas,Pandawa,913,37,43,200.0,46.25,475
Paapou,Herdegrize,Sram,928,10,7,200.0,58.82,475
Timeleft,Brutas,Xelor,891,10,7,200.0,58.82,475
Thepod,Brutas,Yopuka,940,10,7,200.0,58.82,475
Diablottin,Terra Cogita,Feca,911,7,3,199.0,70.0,475
Trollmagedon,Grandapan,Yopuka,896,7,3,200.0,70.0,475
Gaara-Jr,Terra Cogita,Pandawa,893,19,19,200.0,50.0,475
Piotarm,Terra Cogita,Sram,909,7,3,200.0,70.0,475
Bestiial,Brutas,Steamer,921,7,3,200.0,70.0,475
Shareon-Lale,Dodge,Ocra,837,7,3,200.0,70.0,475
Elzaguan,Brutas,Sram,924,10,7,200.0,58.82,475
Laurie-Sabat,Brutas,Steamer,891,13,11,200.0,54.17,475
Fonfon,Brutas,Osamodas,928,10,7,200.0,58.82,475
Gintoniq,Oshimo,Zurcarak,895,10,7,200.0,58.82,475
Luzhoskt,Brutas,Ocra,905,7,3,200.0,70.0,475
Gijs,Dodge,Osamodas,822,10,7,200.0,58.82,475
Cutiepi,Grandapan,Feca,910,7,3,200.0,70.0,475
Hentime,Brutas,Xelor,855,19,19,200.0,50.0,475
Checho-Peul,Brutas,Xelor,941,19,19,199.0,50.0,475
Sacrogritos,Brutas,Sacrogrito,935,7,3,200.0,70.0,475
Yopluis,Brutas,Yopuka,877,7,3,200.0,70.0,475
Zorgk,Oshimo,Xelor,925,7,3,200.0,70.0,475
Dixleexi,Herdegrize,Zurcarak,839,16,15,200.0,51.61,475
Rafa-Perez,Brutas,Yopuka,940,7,3,200.0,70.0,475
Dleanx,Terra Cogita,Yopuka,898,28,31,200.0,47.46,475
Angemon,Oshimo,Zurcarak,873,16,15,200.0,51.61,475
Yakou-za,Terra Cogita,Feca,981,52,63,200.0,45.22,475
Kinspers,Brutas,Zurcarak,887,13,11,200.0,54.17,475
King-Lincendie,Herdegrize,Steamer,930,7,3,200.0,70.0,475
Taxy,Herdegrize,Feca,952,34,39,200.0,46.58,475
Talisker,Terra Cogita,Yopuka,942,7,3,200.0,70.0,475
Mr-Rojex,Brutas,Pandawa,901,16,15,200.0,51.61,475
Doliiprannee,Oshimo,Aniripsa,991,22,23,200.0,48.89,475
Antorus-claw,Brutas,Yopuka,859,10,7,200.0,58.82,475
Lapis-Lazulii,Brutas,Feca,922,7,3,200.0,70.0,475
Maakking,Brutas,Pandawa,886,7,3,200.0,70.0,475
Fuggy,Brutas,Feca,914,70,87,200.0,44.59,475
Crusci,Grandapan,Osamodas,884,13,11,200.0,54.17,475
Vecasama,Terra Cogita,Zurcarak,836,28,31,200.0,47.46,475
Ragnarok-Gg,Brutas,Sram,878,19,19,200.0,50.0,475
Zouhier-Oo,Terra Cogita,Ocra,845,7,3,200.0,70.0,475
Sadistancie,Herdegrize,Sadida,953,7,3,200.0,70.0,475
Rick-Far,Oshimo,Xelor,958,7,3,200.0,70.0,475
Hongo-lp,Brutas,Yopuka,905,7,3,200.0,70.0,475
Meiliodas,Brutas,Pandawa,891,7,3,200.0,70.0,475
Wiwi-Predator,Herdegrize,Sram,932,7,3,200.0,70.0,475
Corona-viirus,Brutas,Yopuka,855,13,11,200.0,54.17,475
Glowzor,Terra Cogita,Sram,943,10,7,200.0,58.82,475
Farwest,Oshimo,Yopuka,1011,8,7,200.0,53.33,474
San-bleuud,Oshimo,Sacrogrito,994,9,6,200.0,60.0,472
Jo-Osa,Herdegrize,Sadida,1045,9,8,200.0,52.94,470
Le-Hawkeye,Oshimo,Ocra,1087,5,8,200.0,38.46,470
Jeccespinal,Brutas,Yopuka,990,11,10,200.0,52.38,469
Rose-Ann,Dodge,Ocra,970,23,28,200.0,45.1,468
Bzezell,Terra Cogita,Xelor,1076,21,23,200.0,47.73,465
Sawnjy,Herdegrize,Feca,1043,15,17,200.0,46.88,464
Pieum,Herdegrize,Anutrof,1030,14,17,200.0,45.16,464
Scarlet-Sword,Oshimo,Yopuka,930,35,42,200.0,45.45,460
Agacement,Herdegrize,Feca,1006,20,21,200.0,48.78,460
Pavlenski,Terra Cogita,Osamodas,984,12,10,200.0,54.55,460
Razed-Shield,Brutas,Feca,1031,8,6,200.0,57.14,460
Sombre-silence,Herdegrize,Aniripsa,1010,11,10,200.0,52.38,456
Ol-kan,Herdegrize,Feca,1012,12,11,200.0,52.17,456
Iewandowski,Oshimo,Zobal,1104,12,18,200.0,40.0,456
Lu-Karu,Brutas,Feca,1030,8,6,200.0,57.14,456
Tjikko,Herdegrize,Sadida,946,33,38,200.0,46.48,455
Yannoou,Terra Cogita,Aniripsa,1017,29,33,200.0,46.77,454
Ancurit,Brutas,Aniripsa,1001,11,9,200.0,55.0,454
Service,Herdegrize,Zobal,1079,7,8,200.0,46.67,453
Execution,Oshimo,Zobal,1003,15,15,200.0,50.0,453
Dispa-rition,Oshimo,Sadida,1066,8,8,200.0,50.0,451
Indra,Brutas,Sacrogrito,926,9,6,200.0,60.0,450
Dk-yz,Brutas,Xelor,854,9,6,199.0,60.0,450
Asuna-Yuuk,Brutas,Aniripsa,938,9,6,200.0,60.0,450
Pozzo,Brutas,Xelor,911,15,14,200.0,51.72,450
Ryucka,Brutas,Zurcarak,867,12,10,200.0,54.55,450
Hangover-Pride,Brutas,Pandawa,932,9,6,200.0,60.0,450
Ozuska,Oshimo,Sacrogrito,923,12,10,200.0,54.55,450
Corgitoast,Terra Cogita,Steamer,902,21,22,200.0,48.84,450
Sra-Arco,Brutas,Ocra,876,9,6,199.0,60.0,450
Kaiser-Ivonne,Brutas,Aniripsa,999,12,10,200.0,54.55,450
Minger,Terra Cogita,Sacrogrito,945,9,6,200.0,60.0,450
Shamouloxx,Oshimo,Sram,857,15,14,200.0,51.72,450
Andress-xel,Brutas,Xelor,896,30,34,200.0,46.88,450
Ill-kei,Oshimo,Yopuka,923,21,22,200.0,48.84,450
Skotokz,Herdegrize,Sram,934,9,6,200.0,60.0,450
Black-Crol,Oshimo,Sacrogrito,951,9,6,200.0,60.0,450
Hansolo-Eze,Brutas,Yopuka,869,12,10,200.0,54.55,450
Joker-Nicholson,Herdegrize,Anutrof,863,24,26,200.0,48.0,450
Silverhm,Brutas,Osamodas,920,18,18,199.0,50.0,450
Zaoshi,Brutas,Yopuka,871,21,22,200.0,48.84,450
Torpye,Herdegrize,Ocra,903,12,10,200.0,54.55,450
Weedpowderrs,Terra Cogita,Xelor,936,21,22,200.0,48.84,450
Forceshielder,Brutas,Yopuka,925,9,6,200.0,60.0,450
Stafacter-Br,Brutas,Sram,884,21,22,200.0,48.84,450
Fabianoise,Brutas,Steamer,882,12,10,200.0,54.55,450
Nack-mooun,Herdegrize,Anutrof,939,24,26,200.0,48.0,450
Tronknide,Oshimo,Xelor,960,12,10,200.0,54.55,450
Sadshimi,Herdegrize,Pandawa,957,9,6,200.0,60.0,450
Noktu,Terra Cogita,Zobal,920,21,22,200.0,48.84,450
Roadie,Oshimo,Steamer,934,9,6,200.0,60.0,450
Garoz,Brutas,Xelor,958,36,42,200.0,46.15,450
Equip-Pokel,Brutas,Osamodas,881,12,10,200.0,54.55,450
Tronblond,Herdegrize,Sram,974,11,9,200.0,55.0,450
Garmus,Brutas,Aniripsa,847,9,6,200.0,60.0,450
Grejoa-Escanor,Brutas,Yopuka,899,12,10,200.0,54.55,450
Sativaaz,Herdegrize,Sadida,841,9,6,200.0,60.0,450
Orco-Dante,Brutas,Yopuka,929,42,50,200.0,45.65,450
Sir-Blade,Brutas,Yopuka,873,9,6,200.0,60.0,450
Louise-ll,Oshimo,Feca,944,9,6,200.0,60.0,450
Gaeli,Brutas,Aniripsa,995,9,6,200.0,60.0,450
Zorrobra,Brutas,Sacrogrito,930,12,10,200.0,54.55,450
Demenang,Terra Cogita,Yopuka,985,10,8,200.0,55.56,449
Dioor,Herdegrize,Feca,1101,9,12,200.0,42.86,447
Hemorrhage,Brutas,Feca,1061,11,13,200.0,45.83,447
El-caminno,Herdegrize,Yopuka,1030,11,13,200.0,45.83,447
Daraleg,Brutas,Ocra,929,8,5,200.0,61.54,446
Supersaiyan,Oshimo,Yopuka,972,10,8,200.0,55.56,446
Lefuz,Oshimo,Sram,961,22,24,200.0,47.83,445
Surmontable,Herdegrize,Sacrogrito,1017,10,10,200.0,50.0,441
Ragna-Gold,Terra Cogita,Ocra,947,20,21,200.0,48.78,439
Tio-Davis,Brutas,Ocra,930,18,23,200.0,43.9,437
Lemon-Sower,Herdegrize,Sacrogrito,999,8,5,200.0,61.54,436
Love-Hotel,Herdegrize,Aniripsa,1026,10,8,200.0,55.56,434
Neiiwa,Oshimo,Yopuka,964,14,13,200.0,51.85,433
Hide-skyzo,Herdegrize,Zobal,982,37,44,200.0,45.68,433
Ksaarito-san,Oshimo,Ocra,922,11,9,200.0,55.0,431
Ineos,Oshimo,Sram,968,36,43,200.0,45.57,430
Tymadz-cr,Brutas,Ocra,886,44,53,200.0,45.36,427
La-Tuku,Brutas,Aniripsa,1010,14,13,200.0,51.85,427
Synvain-renove,Herdegrize,Sram,954,23,25,200.0,47.92,426
Odds,Dodge,Zurcarak,900,8,5,200.0,61.54,425
Manterra,Brutas,Anutrof,852,23,25,199.0,47.92,425
Sky-Neuskraken,Brutas,Ocra,902,8,5,200.0,61.54,425
Sraamkiller,Oshimo,Sram,913,41,49,200.0,45.56,425
Night-Mac,Herdegrize,Yopuka,837,8,5,200.0,61.54,425
Bludfire,Herdegrize,Ocra,848,14,13,200.0,51.85,425
Maryxic,Brutas,Feca,979,11,9,200.0,55.0,425
Eriben,Brutas,Yopuka,865,11,9,199.0,55.0,425
Monarka,Brutas,Yopuka,881,14,13,200.0,51.85,425
Krikokall,Brutas,Feca,919,17,17,200.0,50.0,425
Zadnitsa,Grandapan,Aniripsa,932,17,17,200.0,50.0,425
Le-Xii,Oshimo,Feca,875,14,13,200.0,51.85,425
Camilorvs,Brutas,Aniripsa,918,50,61,200.0,45.05,425
Frenchy,Brutas,Tymador,871,8,5,200.0,61.54,425
Mr-Yuno,Brutas,Pandawa,901,17,17,200.0,50.0,425
Tseldora,Dodge,Aniripsa,861,8,5,200.0,61.54,425
Lagertaah,Oshimo,Sram,935,41,49,200.0,45.56,425
Azeltos-Arc,Oshimo,Anutrof,851,68,85,200.0,44.44,425
Theeveloz,Brutas,Anutrof,872,14,13,200.0,51.85,425
Drra,Brutas,Sram,907,17,17,200.0,50.0,425
Kazashi,Brutas,Sram,896,8,5,200.0,61.54,425
Chernooby,Brutas,Osamodas,883,8,5,200.0,61.54,425
Nagato-Uchija,Brutas,Osamodas,903,11,9,200.0,55.0,425
Titiloo,Herdegrize,Ocra,873,11,9,200.0,55.0,425
Xy-dayzi,Oshimo,Yopuka,875,8,5,200.0,61.54,425
Pimpampoom,Herdegrize,Pandawa,924,35,41,200.0,46.05,425
Tilleul-menthe,Herdegrize,Sadida,888,29,33,200.0,46.77,425
Kitalpha,Herdegrize,Ocra,880,8,5,200.0,61.54,425
King-Latin,Grandapan,Ocra,853,17,17,200.0,50.0,425
Genwiz,Brutas,Yopuka,863,23,25,200.0,47.92,425
Psycckox,Oshimo,Anutrof,914,20,21,200.0,48.78,425
Blod-red,Brutas,Ocra,906,17,17,200.0,50.0,425
La-Moissonneuse,Oshimo,Feca,983,20,21,200.0,48.78,425
Mama-Bamboula,Oshimo,Aniripsa,1003,14,13,200.0,51.85,425
Angells-mask,Oshimo,Zobal,887,8,5,200.0,61.54,425
Yop-heros,Herdegrize,Yopuka,822,14,13,199.0,51.85,425
Gladiatrix,Herdegrize,Aniripsa,1053,6,4,200.0,60.0,425
Yujyro,Terra Cogita,Sacrogrito,1084,5,5,200.0,50.0,424
Steamdeflo,Oshimo,Steamer,1059,13,18,200.0,41.94,424
The-Hedgehog,Brutas,Feca,1004,9,7,200.0,56.25,422
Feuxnoir,Terra Cogita,Ocra,882,52,64,200.0,44.83,420
Raspoutii,Herdegrize,Feca,966,25,28,200.0,47.17,419
Iyopire,Herdegrize,Yopuka,980,14,14,200.0,50.0,418
Crrazeubi,Terra Cogita,Sram,1043,6,6,200.0,50.0,417
Kat-niss,Terra Cogita,Ocra,968,9,7,200.0,56.25,415
Xiniestra,Brutas,Xelor,1075,8,9,200.0,47.06,415
Claraclurre,Terra Cogita,Sram,984,8,6,200.0,57.14,414
Ph-e,Oshimo,Yopuka,989,7,5,200.0,58.33,414
Chakaloko,Oshimo,Zobal,993,12,11,200.0,52.17,410
Yamoshii,Brutas,Yopuka,982,10,9,200.0,52.63,409
Immortal-Vl,Dodge,Pandawa,968,40,48,200.0,45.45,408
Kid-Kid,Dodge,Feca,977,25,28,200.0,47.17,406
Triniity,Oshimo,Steamer,1008,16,20,200.0,44.44,405
Lapetiterive,Terra Cogita,Sacrogrito,984,10,8,200.0,55.56,405
Lehderr,Dodge,Sram,962,23,26,200.0,46.94,405
Mars-Attacks,Terra Cogita,Sram,962,16,16,200.0,50.0,404
Taoka,Oshimo,Steamer,1009,23,28,200.0,45.1,404
Hideau,Oshimo,Ocra,910,37,44,200.0,45.68,403
Lleim,Herdegrize,Ocra,972,4,6,200.0,40.0,402
Dylerzz,Herdegrize,Sram,963,16,16,200.0,50.0,402
Stay-Ebay,Terra Cogita,Pandawa,1039,8,8,200.0,50.0,402
Oth-arc,Herdegrize,Ocra,996,13,17,200.0,43.33,402
Vegetal-black,Brutas,Sadida,984,16,16,200.0,50.0,401
Jc-Julio,Brutas,Ocra,920,16,16,200.0,50.0,401
Ookathe,Brutas,Sram,945,15,15,200.0,50.0,401
Sonalyne,Dodge,Ocra,912,26,31,200.0,45.61,401
Shintaka,Terra Cogita,Pandawa,908,7,4,200.0,63.64,400
Guts-Samaa,Terra Cogita,Yopuka,943,7,4,200.0,63.64,400
Noklaw,Brutas,Yopuka,848,16,16,200.0,50.0,400
Skytimes,Brutas,Ocra,880,22,24,200.0,47.83,400
Nina-ha,Brutas,Sram,900,19,20,200.0,48.72,400
Elyo-junior,Terra Cogita,Sram,908,7,4,200.0,63.64,400
Mr-moe,Oshimo,Anutrof,861,10,8,200.0,55.56,400
Guilow-kawakita,Brutas,Ocra,845,13,12,200.0,52.0,400
Zeldrixs,Brutas,Sacrogrito,891,16,16,200.0,50.0,400
Akraman,Oshimo,Zobal,919,13,12,200.0,52.0,400
Fliptheswitch,Oshimo,Sram,825,52,64,199.0,44.83,400
Nilastiana,Terra Cogita,Yopuka,939,10,8,200.0,55.56,400
Parle-peu,Oshimo,Yopuka,910,13,12,200.0,52.0,400
Nuniyie,Terra Cogita,Ocra,851,19,20,200.0,48.72,400
Inspecteur-Dere,Terra Cogita,Yopuka,900,16,16,199.0,50.0,400
Pezzie,Terra Cogita,Ocra,892,52,64,200.0,44.83,400
Levi-Strauzz,Grandapan,Aniripsa,880,10,8,200.0,55.56,400
Edify,Terra Cogita,Zurcarak,883,82,104,200.0,44.09,400
Za-bouu,Herdegrize,Yopuka,879,73,92,200.0,44.24,400
El-toro,Grandapan,Pandawa,896,7,4,200.0,63.64,400
Mid-Antrozous,Herdegrize,Sram,887,16,16,199.0,50.0,400
Nokzz,Brutas,Steamer,905,25,28,200.0,47.17,400
Yoru-tora,Terra Cogita,Sram,920,16,16,200.0,50.0,400
Jd-cruel,Brutas,Pandawa,972,7,4,200.0,63.64,400
Tiimy,Brutas,Steamer,844,16,16,200.0,50.0,400
Okkey,Herdegrize,Aniripsa,1063,6,5,200.0,54.55,400
Jungle-Stick,Oshimo,Pandawa,920,37,44,199.0,45.68,400
Yorizmo-Kajo,Brutas,Anutrof,929,7,4,200.0,63.64,400
Mr-marcus,Brutas,Yopuka,920,13,12,200.0,52.0,400
Clown-Lalegende,Oshimo,Pandawa,957,7,4,200.0,63.64,400
Lyzandraz,Brutas,Sram,873,40,48,200.0,45.45,400
Sr-mer,Brutas,Aniripsa,1006,7,4,200.0,63.64,400
Coquinos,Oshimo,Yopuka,898,7,4,200.0,63.64,400
Ouragan-Xl,Dodge,Yopuka,917,19,20,200.0,48.72,400
Shaxx,Dodge,Anutrof,830,10,8,199.0,55.56,400
Mensajero,Brutas,Ocra,823,49,60,199.0,44.95,400
Sky-winter,Oshimo,Sacrogrito,944,19,20,200.0,48.72,400
Athenneaa,Brutas,Ocra,851,10,8,200.0,55.56,400
Persefon,Grandapan,Yopuka,838,7,4,200.0,63.64,400
Helo,Dodge,Feca,969,13,12,200.0,52.0,400
Gioryza,Dodge,Ocra,854,7,4,200.0,63.64,400
Theyill-ky,Brutas,Yopuka,867,13,12,200.0,52.0,400
Astredo,Terra Cogita,Zobal,915,10,8,199.0,55.56,400
Time-Bombe,Oshimo,Xelor,1056,9,10,200.0,47.37,394
Killua-asakura,Brutas,Xelor,1025,9,8,200.0,52.94,393
Soldat-Blanc,Terra Cogita,Ocra,969,9,9,200.0,50.0,390
Xrox,Terra Cogita,Sram,980,17,19,200.0,47.22,385
Fygg,Oshimo,Feca,1018,13,13,200.0,50.0,383
Lekillerdesplai,Terra Cogita,Ocra,950,9,8,200.0,52.94,382
Red-San,Terra Cogita,Anutrof,994,16,20,200.0,44.44,381
